car_name,model,price,drive_type,fuel_tank_capacity,fuel_type,mileage,torque,seating_capacity,boot_space,instrument_cluster,elec_mileage,body_type,cng_mileage,power,image
Mahindra Nuvosport,N4,"Rs. 7,97,802",FWD (Front Wheel Drive),60 litres,Diesel,17.21 km/litre,240Nm@1600-2800rpm,5,242 litres,Analog + Digital,,Crossover,,100PS@3750RPM,https://www.carandbike.com/_next/image?url=https%3A%2F%2Fimages.carandbike.com%2Fcar-images%2Fcolors%2Fmahindra%2Fnuvosport%2Fmahindra-nuvosport-diamond-white.png%3Fv%3D1&w=640&q=75
Nissan Kicks,Xl Petrol,"Rs. 9,55,000",FWD (Front Wheel Drive),50 litres,Petrol,14.23 km/litre,142Nm@4000rpm,7,412 litres,Analog + Digital,,SUV,,106PS@5600rpm,https://www.evmnissan.co.in/Kicks-turbo-removebg-preview.png
Hyundai Kona Electric,Premium,"Rs. 37,88,000",FWD (Front Wheel Drive),,Hybrid,462 km/full charge,221Nm@3600-5200rpm,4,400 litres,Analog + Digital,462 km/full charge,SUV,,178PS@5700rpm,https://cdn.prod.website-files.com/60ce1b7dd21cd517bb39ff20/61a7aef2e1b956351a1e4849_hyundai.png
Toyota Camry,Hybrid,"Rs. 60,61,200",FWD (Front Wheel Drive),,Diesel,19.2 km/litre,400Nm @1750-3000rpm,5,,Digital,,Sedan,,190ps @ 3800-4200rpm,https://www.toyota.astra.co.id//sites/default/files/2023-09/02_platinum-white-pearl_0.png
Audi A5,Sportback,"Rs. 1,02,05,494",FWD (Front Wheel Drive),85 litres,Diesel,18 km/litre,600Nm@2000rpm,5,,Analog + Digital,,Sedan,,258PS@3750rpm,https://www.motortrend.com/uploads/sites/10/2023/11/2024-audi-a5-sportback-premium-plus-4wd-5door-hatchback-angular-front.png
Land Rover Discovery,3.0 Hse Diesel,"Rs. 96,89,321",4WD,85 litres,Diesel,18 km/litre,600Nm@2000rpm,7,54 litres,Analog + Digital,,SUV,,258PS@3750rpm,https://inv.assets.ansira.net/ChromeColorMatch/us/TRANSPARENT_cc_2024LRS110002_01_1280_1AA.png
Land Rover,3.0 Se Diesel,"Rs. 84,33,741",4WD,89 litres,Petrol,9.17 km/litre,450Nm@3500-5000RPM,7,258 litres,Analog + Digital,,SUV,,394PS@3750rpm,
Lexus Ls 500H,Luxury,"Rs. 1,87,36,000",AWD (All Wheel Drive),82 litres,Hybrid,15.4 km/litre,350Nm@5100rpm,5,258 litres,Analog + Digital,,SUV,,299PS@6600rpm,https://platform.cstatic-images.com/in/v2/stock_photos/06d659bc-0e1d-42c5-9578-eb7168593c20/fd2598c9-67a1-460f-9200-dcc1a9fdb4e5.png
Rolls Royce Phantom,Sedan,"Rs. 7,54,00,000",RWD (Rear Wheel Drive),100 litres,Petrol,23 km/litre,720Nm@3500rpm,5,430 litres,Analog + Digital,,Sedan,,460PS@5350rpm,https://www.cars24.com/new-cars/_next/image/?url=https%3A%2F%2Fcdn.24c.in%2Fprod%2Fnew-car-cms%2FCar-Image%2F2024%2F04%2F12%2F7f577cb0-1e76-459d-ac0c-bed4ed23a96d-Rolls-Royce_phantom_Feature-Image.png&w=750&q=30
Fiat Punto Evo,Dynamic 1.2,"Rs. 6,31,292",FWD (Front Wheel Drive),45 litres,Diesel,20.5 km/litre,197Nm@1750RPM,5,460 litres,Analog + Digital,,Hatchback,,76PS@4000RPM,https://gomechprod.blob.core.windows.net/gm-retail-app/New%20Car%20Model%20Images/brand-4-model-74.png
Toyota Yaris,J,"Rs. 10,55,000",FWD (Front Wheel Drive),42 litres,Petrol,17.1 km/litre,140Nm@4200rpm,5,280 litres,Analog + Digital,,Sedan,,107PS@6000rpm,https://5.imimg.com/data5/LG/TE/MA/GLADMIN-72742583/brand-car.png
Skoda Octavia,Ambition 1.4 Tsi,"Rs. 17,99,599",FWD (Front Wheel Drive),50 litres,Diesel,21 km/litre,320Nm@1750-3000rpm,5,476 litres,Analog + Digital,,Sedan,,143PS@4000rpm,https://vorsprung.com/cdn/shop/files/Skoda_Octavia.png?v=1685113804
Mercedes Glc,200 Progressive,"Rs. 57,75,000",RWD (Rear Wheel Drive),50 litres,Diesel,18.18 km/litre,400Nm@1600-2800RPM,5,590 litres,Analog + Digital,,SUV,,194PS@3800rpm,"https://crdms.images.consumerreports.org/c_lfill,w_470,q_auto,f_auto/prod/cars/cr/model-years/16473-2024-mercedes-benz-glc-coupe"
Porsche Cayenne Coupe,Base,"Rs. 1,97,63,000",AWD (All Wheel Drive),90 litres,Petrol,15.3 km/litre,770Nm@2000-4500,,580 litres,Digital,,,,550PS@5750-6000,https://www.motortrend.com/uploads/sites/10/2022/09/2023-porsche-cayenne-coupe-4wd-suv-angular-front.png?w=768&width=768&q=75&format=webp
Mahindra Verito,1.5 D2,"Rs. 7,72,617",FWD (Front Wheel Drive),50 litres,Diesel,21 km/litre,160Nm@2000rpm,5,598 litres,Digital,,Sedan,,65PS@4000rpm,https://www.carandbike.com/_next/image?url=https%3A%2F%2Fimages.carandbike.com%2Fcar-images%2Fcolors%2Fmahindra%2Fverito-vibe%2Fmahindra-verito-vibe-diamond-white.png%3Fv%3D1&w=750&q=75
Mitsubishi Pajero Sport,2.5 Mt,"Rs. 28,35,500",RWD (Rear Wheel Drive),70 litres,Diesel,10.77 km/litre,350Nm@1800-3500rpm,7,330 litres,Analog + Digital,,SUV,,178PS@4000rpm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLcq0GNzKgCEDmd9e4d56iPnZs2MtkGk7D5A&s
Bentley Flying Spur,V8,"Rs. 3,93,82,083",AWD (All Wheel Drive),90 litres,Petrol,4 km/litre,800Nm@1600-6100rpm,4,,Analog + Digital,,Sedan,,616PS@6100rpm,https://www.cars24.com/new-cars/_next/image/?url=https%3A%2F%2Fcdn.24c.in%2Fprod%2Fnew-car-cms%2FBentley%2FFlying-Spur%2F2024%2F04%2F01%2F26868ea3-8047-4e9a-bec6-77406ac5eab9-Bentley_Flying-Spur_Glacier-White-(Solid).png&w=750&q=75
Honda City,Sv Mt Petrol,"Rs. 10,65,900",FWD (Front Wheel Drive),40 litres,Petrol,17.8 km/litre,145Nm@4600rpm,5,475 litres,Analog + Digital,,Sedan,,119PS@6600rpm,https://d31sro4iz4ob5n.cloudfront.net/upload/car/city-2024/color/lhd-lx-platinum-white-pearl/1.png?v=1710422640
Mitsubishi Montero,3.2 At,,AWD (All Wheel Drive),,,,,7,510 litres,Analog + Digital,,SUV,,,
Maruti Suzuki Jimny,Zeta,,AWD (All Wheel Drive),40 litres,,17 km/litres,,4,211 litres,Analog + Digital,,SUV,,,https://www.suzukicar.com.sg/-/media/4ca84f51fb59432aa47cc8f3e93a3235.png?h=251&iar=0&w=443&hash=7E1B9BD62066B1A81473E3A6AC045980
Mg Gloster ,Sharp 7 Str 4x2,,RWD (Rear Wheel Drive),75 litres,,13.92 km/litres,,7,348 litres,Analog + Digital,,SUV,,,https://mgmotor.scene7.com/is/image/mgmotor/gs-img-dsc-035?$mg-rgb-tablet-image-responsive$&fmt=png-alpha
Mg Comet,Executive,,FWD (Front Wheel Drive),17.3 kWh,,230 km/full charge,,4,350 litres (seats folded),Digital,,Hatchback,,,https://mgmotor.scene7.com/is/image/mgmotor/cm-img-dsc-0191?$mg-rgb-tablet-image-responsive$&fmt=png-alpha
Mahindra 3XO,AX7 Turbo AT,"Rs. 15,49,000",FWD (Front Wheel Drive),,Petrol,20.6 km/litre,300Nm@1500-3750rpm,5,364 litres,Digital,,SUV,,182bhp,https://ackodrive-assets.ackodrive.com/media/test_mUga1JU.png
Kia Sonet,X-Line Diesel AT,"Rs. 15,77,000",FWD (Front Wheel Drive),,,20 km/litre,250Nm@4200rpm,5,385 litres,Digital,,SUV,,114bhp @4000rpm,https://www.kia.com/content/dam/kia2/in/en/images/360vr/sonet/sxw5k2g1uhh072/exterior/gb3/08-m.png
Tata Curvv,Smart,"Rs. 10,00,000",FWD (Front Wheel Drive),44 litres,Petrol/Diesel,15km/litre,260Nm@4000rpm,5,500 litres,Digital,,SUV,,118bhp,https://s7ap1.scene7.com/is/image/tatapassenger/VirtualSunrise-0?$PO-750-500-S$&fit=crop&fmt=png-alpha
Mahindra BE 6,Pack one,"Rs. 18,90,000",RWD (Rear Wheel Drive),59 - 79 kWh,Electric,,,5,455 litres,Digital,,SUV,,224bhp,https://www.cars24.com/new-cars/_next/image/?url=https%3A%2F%2Fcdn.cars24.com%2Fprod%2Fnew-car-cms%2FMahindra%2FBE-6E%2F2024%2F11%2F27%2F6c7d327f-8ab6-4507-b925-08776f373c6c-1-(41).png&w=640&q=75
Maruti Suzuki E Vitara,49 kWh,"Rs. 17,00,000",FWD (Front Wheel Drive),49 - 61 kWh,Electric,,189NM@4300rpm,5,not anounced,Digital,,SUV,,189bhp,https://www.globalsuzuki.com/automobile/lineup/evitara/assets/img/color/wbh.png
Mahindra XEV 9E,Pack one,"Rs. 21,90,000",RWD (Rear Wheel Drive),59 - 79 kWh,Electric,,380Nm,5,663 litres,Digital,,SUV,,282bhp,https://www.cars24.com/new-cars/_next/image/?url=https%3A%2F%2Fcdn.cars24.com%2Fprod%2Fnew-car-cms%2FMahindra%2FXEV-9E%2F2024%2F11%2F27%2Fa3475724-e9e2-430b-97e7-1dfa6fb6d800-2-(40).png&w=750&q=30
